"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AAXN","Axon Enterprise, Inc.","87.11","$5.17B","n/a","Capital Goods","Ordnance And Accessories","https://old.nasdaq.com/symbol/aaxn",
"AXNX","Axonics Modulation Technologies, Inc.","34.29","$1.16B","2018","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/axnx",
"AXGT","Axovant Gene Therapies Ltd.","4.34","$98.92M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/axgt",
"AXSM","Axsome Therapeutics, Inc.","90.47","$3.35B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/axsm",
"AXTI","AXT Inc","4.06","$163.29M","1998","Technology","Semiconductors","https://old.nasdaq.com/symbol/axti",
"AYTU","Aytu BioScience, Inc.","0.7909","$16.4M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aytu",
"AZRX","AzurRx BioPharma, Inc.","0.925","$24.79M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/azrx",
"BCOM","B Communications Ltd.","1.5014","$174.64M","n/a","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/bcom",
"RILY","B. Riley Financial, Inc.","26.81","$723.07M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","25.76","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyg",
"RILYH","B. Riley Financial, Inc.","25.92","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyh",
"RILYI","B. Riley Financial, Inc.","25.6596","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyi",
"RILYM","B. Riley Financial, Inc.","25.17","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilym",
"RILYN","B. Riley Financial, Inc.","25.54","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyn",
"RILYO","B. Riley Financial, Inc.","25.65","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyo",
